"USER_ID"	"Party"	"Age_group"	"NumSurveyAnsInterest"	"IsLiberal"	"Gender"	"Income"	"HouseholdStatus"	"EducationLevel"	"Q109244"	"Q115611"	"Q98197"	"Q113181"	"Q98869"	"Q101163"	"Q99480"	"Q105840"	"Q116881"	"Q120379"	"Q120472"	"Q106272"	"Q115899"	"Q121699"	"Q119851"	"Q110740"	"Q102089"	"Q106042"	"Q115195"	"Q100680"	"Q101596"	"Q99716"	"Q118892"	"Q108342"	"Q115390"	"Q107869"	"Q122771"	"Q118232"	"Q112478"	"Q120012"	"Q113583"	"Q120014"	"Q100689"	"Q124122"	"Q98078"	"Q96024"	"Q108855"	"Q121700"	"Q106388"	"Q116953"	"Q111848"	"Q116448"	"Q120194"	"Q121011"	"Q106389"
1245	"Democrat"	"(18,44]"	45	"No"	"Female"	"under $25,000"	"Single (no kids)"	"High School Diploma"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Art"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"	"No"	"Yes"	"No"	"No"	"No"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"No"
1247	"Democrat"	"(18,44]"	45	"Yes"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Right"	"No"	"Science"	"No"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Rent"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Online"	"No"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Talk"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"Yes"
1248	"Democrat"	"(44,64]"	44	"Yes"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"dnr"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"dnr"	"Yes"	"Yes"	"Mac"	"Own"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes"	"In-person"	"No"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Yes!"	"No"	"No"	"No"	"No"	"Yes"	"Study first"	"Yes"	"No"
1249	"Democrat"	"(18,44]"	39	"unknown"	"Female"	"$75,000 - $100,000"	"Married (w/kids)"	"Master's Degree"	"No"	"No"	"No"	"dnr"	"dnr"	"Dad"	"Yes"	"No"	"Right"	"dnr"	"dnr"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"dnr"	"No"	"Yes"	"Yes"	"Yes"	"No"	"dnr"	"No"	"Yes"
1250	"Republican"	"(18,44]"	31	"No"	"Female"	"$25,001 - $50,000"	"Married (no kids)"	"Doctoral Degree"	"No"	"Yes"	"dnr"	"No"	"Yes"	"Dad"	"dnr"	"Yes"	"Happy"	"Yes"	"dnr"	"dnr"	"Circumstances"	"Yes"	"No"	"PC"	"Own"	"dnr"	"No"	"dnr"	"No"	"dnr"	"Yes"	"In-person"	"No"	"Yes"	"Public"	"Pragmatist"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes!"	"No"	"dnr"	"Yes"	"Yes"	"No"	"Study first"	"dnr"	"dnr"
1251	"Republican"	"(18,44]"	38	"No"	"Female"	"$75,000 - $100,000"	"Married (no kids)"	"Bachelor's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"Yes"	"dnr"	"Mac"	"Own"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"dnr"	"In-person"	"No"	"Yes"	"Private"	"dnr"	"Yes"	"dnr"	"Tunes"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"No"	"dnr"	"Yes"	"No"
1252	"Republican"	"(64,90]"	45	"No"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"High School Diploma"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Talk"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"No"	"No"	"Try first"	"Yes"	"No"
1253	"Republican"	"(18,44]"	45	"No"	"Male"	"$50,000 - $74,999"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"Yes"	"Right"	"Yes"	"Science"	"No"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"	"No"	"No"	"No"	"No"	"Yes"	"Online"	"Yes"	"No"	"Public"	"Pragmatist"	"Yes"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Study first"	"Yes"	"Yes"
1254	"Republican"	"(18,44]"	45	"No"	"Male"	"$75,000 - $100,000"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Art"	"Yes"	"Me"	"Yes"	"Yes"	"Mac"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"No"	"Yes"	"Public"	"Pragmatist"	"No"	"No"	"Talk"	"Yes"	"No"	"Yes"	"No"	"No"	"Umm..."	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Study first"	"No"	"No"
1255	"Democrat"	"(18,44]"	36	"Yes"	"Female"	"dnr"	"Married (w/kids)"	"dnr"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"dnr"	"Happy"	"No"	"Science"	"dnr"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Own"	"dnr"	"dnr"	"No"	"No"	"No"	"No"	"dnr"	"dnr"	"No"	"Public"	"dnr"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"No"	"dnr"	"No"	"Yes!"	"No"	"No"	"Yes"	"No"	"dnr"	"Study first"	"Yes"	"No"
1257	"Republican"	"(18,44]"	45	"No"	"Female"	"$50,000 - $74,999"	"Married (w/kids)"	"Associate's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"Yes"	"PC"	"Own"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"No"	"No"	"Tunes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"Yes"	"Yes"
1258	"Democrat"	"(44,64]"	45	"Yes"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"Yes"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Try first"	"Yes"	"Yes"
1260	"Republican"	"(18,44]"	22	"unknown"	"Female"	"under $25,000"	"Single (no kids)"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Dad"	"dnr"	"dnr"	"dnr"	"No"	"Art"	"dnr"	"dnr"	"Yes"	"No"	"Mac"	"Rent"	"dnr"	"Yes"	"Yes"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"Private"	"dnr"	"No"	"dnr"	"Tunes"	"dnr"	"No"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"No"	"No"	"dnr"	"Try first"	"No"	"dnr"
1261	"Democrat"	"(18,44]"	45	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Mom"	"No"	"No"	"Happy"	"Yes"	"Art"	"Yes"	"Circumstances"	"No"	"No"	"Mac"	"Rent"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Online"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Umm..."	"No"	"Yes"	"No"	"No"	"Yes"	"Study first"	"Yes"	"Yes"
1263	"Democrat"	"(44,64]"	43	"No"	"Male"	"$100,001 - $150,000"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"Yes"	"PC"	"Own"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"dnr"	"Yes"	"Talk"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"Yes"	"Yes"	"dnr"	"Yes"	"Study first"	"No"	"Yes"
1264	"Republican"	"(44,64]"	40	"unknown"	"Female"	"$100,001 - $150,000"	"Married (no kids)"	"Associate's Degree"	"dnr"	"No"	"No"	"No"	"Yes"	"Mom"	"Yes"	"dnr"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"In-person"	"No"	"dnr"	"Public"	"Idealist"	"Yes"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Umm..."	"No"	"dnr"	"Yes"	"Yes"	"No"	"Study first"	"Yes"	"dnr"
1265	"Republican"	"(18,44]"	45	"No"	"Male"	"dnr"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Right"	"No"	"Science"	"Yes"	"Me"	"No"	"No"	"Mac"	"Own"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Private"	"Pragmatist"	"Yes"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"Yes"	"No"	"Yes"	"Yes"	"No"	"Study first"	"Yes"	"Yes"
1267	"Democrat"	"(18,44]"	32	"unknown"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"High School Diploma"	"dnr"	"No"	"No"	"No"	"Yes"	"dnr"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"dnr"	"Yes"	"No"	"PC"	"Own"	"No"	"dnr"	"dnr"	"No"	"No"	"Yes"	"Online"	"dnr"	"dnr"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"No"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"dnr"	"dnr"	"Study first"	"No"	"Yes"
1268	"Republican"	"(44,64]"	42	"No"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Associate's Degree"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Mom"	"dnr"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"PC"	"Own"	"No"	"Yes"	"Yes"	"Yes"	"dnr"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Pragmatist"	"No"	"Yes"	"Tunes"	"Yes"	"Yes"	"No"	"No"	"No"	"Yes!"	"dnr"	"No"	"Yes"	"No"	"No"	"Study first"	"No"	"No"
1269	"Democrat"	"(44,64]"	36	"unknown"	"Male"	"over $150,000"	"Married (w/kids)"	"Doctoral Degree"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"dnr"	"No"	"PC"	"Own"	"Yes"	"Yes"	"No"	"Yes"	"No"	"No"	"Online"	"No"	"No"	"Public"	"Idealist"	"dnr"	"Yes"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Yes"	"Yes!"	"dnr"	"Yes"	"Yes"	"Yes"	"Yes"	"Study first"	"dnr"	"No"
1270	"Republican"	"(18,44]"	35	"No"	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"Current Undergraduate"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Art"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Rent"	"No"	"dnr"	"No"	"No"	"No"	"Yes"	"In-person"	"dnr"	"dnr"	"dnr"	"Idealist"	"dnr"	"Yes"	"Tunes"	"Yes"	"No"	"dnr"	"Yes"	"No"	"Yes!"	"Yes"	"No"	"dnr"	"dnr"	"Yes"	"Study first"	"dnr"	"Yes"
1271	"Republican"	"(44,64]"	45	"No"	"Male"	"over $150,000"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"Online"	"No"	"Yes"	"Public"	"Pragmatist"	"Yes"	"Yes"	"Tunes"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"Yes"	"No"	"Yes"	"No"	"Study first"	"No"	"No"
1272	"Republican"	"(18,44]"	45	"No"	"Female"	"under $25,000"	"Married (no kids)"	"Current Undergraduate"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"No"	"PC"	"Rent"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Idealist"	"Yes"	"Yes"	"Tunes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Umm..."	"No"	"No"	"No"	"Yes"	"No"	"Study first"	"Yes"	"Yes"
1273	"Democrat"	"(18,44]"	28	"unknown"	"Male"	"under $25,000"	"Single (no kids)"	"Associate's Degree"	"dnr"	"dnr"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"dnr"	"No"	"Science"	"Yes"	"dnr"	"dnr"	"dnr"	"PC"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"Online"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"Yes"	"Tunes"	"No"	"Yes"	"dnr"	"No"	"Yes"	"dnr"	"dnr"	"No"	"dnr"	"No"	"dnr"	"Study first"	"No"	"No"
1274	"Democrat"	"(18,44]"	44	"Yes"	"Female"	"dnr"	"Married (w/kids)"	"dnr"	"No"	"No"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Private"	"Idealist"	"Yes"	"Yes"	"Talk"	"No"	"No"	"dnr"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Study first"	"No"	"No"
1275	"Republican"	"(18,44]"	36	"Yes"	"Male"	"dnr"	"dnr"	"dnr"	"No"	"No"	"No"	"No"	"No"	"dnr"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"dnr"	"dnr"	"Yes"	"Yes"	"Mac"	"Rent"	"No"	"Yes"	"dnr"	"dnr"	"No"	"Yes"	"dnr"	"No"	"No"	"Private"	"Idealist"	"Yes"	"No"	"Tunes"	"Yes"	"dnr"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"dnr"	"Yes"	"Yes"	"No"	"Study first"	"Yes"	"dnr"
1276	"Republican"	"(18,44]"	32	"No"	"Male"	"over $150,000"	"Married (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Right"	"dnr"	"dnr"	"Yes"	"Circumstances"	"dnr"	"dnr"	"Mac"	"Rent"	"No"	"Yes"	"Yes"	"No"	"No"	"dnr"	"In-person"	"No"	"Yes"	"dnr"	"dnr"	"Yes"	"dnr"	"Tunes"	"dnr"	"Yes"	"dnr"	"Yes"	"No"	"Umm..."	"dnr"	"No"	"Yes"	"Yes"	"No"	"dnr"	"dnr"	"Yes"
1277	"Republican"	"(18,44]"	41	"No"	"Female"	"over $150,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"No"	"dnr"	"Yes"	"dnr"	"Mom"	"dnr"	"Yes"	"Happy"	"Yes"	"Art"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Rent"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes"	"Online"	"No"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Tunes"	"Yes"	"Yes"	"No"	"dnr"	"No"	"Yes!"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Study first"	"Yes"	"Yes"
1278	"Republican"	"(18,44]"	43	"Yes"	"Female"	"dnr"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"No"	"Me"	"No"	"No"	"dnr"	"Rent"	"Yes"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"dnr"	"Yes"	"No"	"Yes!"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Try first"	"No"	"No"
1279	"Democrat"	"(18,44]"	41	"Yes"	"Female"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"dnr"	"PC"	"Own"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"dnr"	"In-person"	"No"	"No"	"Private"	"dnr"	"Yes"	"Yes"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"dnr"	"No"	"No"	"No"	"Yes"	"Yes"	"Study first"	"No"	"Yes"
1280	"Republican"	"(18,44]"	44	"No"	"Male"	"$25,001 - $50,000"	"Single (no kids)"	"Bachelor's Degree"	"No"	"Yes"	"No"	"No"	"No"	"Dad"	"Yes"	"Yes"	"dnr"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Rent"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"In-person"	"Yes"	"No"	"Public"	"Pragmatist"	"No"	"Yes"	"Talk"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Umm..."	"Yes"	"No"	"No"	"Yes"	"Yes"	"Study first"	"Yes"	"Yes"
1281	"Democrat"	"(44,64]"	25	"No"	"Female"	"dnr"	"Married (w/kids)"	"Master's Degree"	"No"	"No"	"dnr"	"Yes"	"Yes"	"dnr"	"dnr"	"Yes"	"Happy"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Mac"	"dnr"	"dnr"	"Yes"	"Yes"	"Yes"	"dnr"	"Yes"	"dnr"	"No"	"Yes"	"Private"	"Pragmatist"	"No"	"dnr"	"Talk"	"dnr"	"Yes"	"No"	"dnr"	"Yes"	"Yes!"	"dnr"	"dnr"	"dnr"	"No"	"No"	"dnr"	"Yes"	"dnr"
1282	"Republican"	"(44,64]"	8	"unknown"	"Male"	"over $150,000"	"Married (w/kids)"	"Master's Degree"	"dnr"	"dnr"	"No"	"dnr"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"PC"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"dnr"
1283	"Democrat"	"(18,44]"	33	"unknown"	"Male"	"$25,001 - $50,000"	"Single (no kids)"	"High School Diploma"	"No"	"dnr"	"No"	"No"	"dnr"	"Dad"	"No"	"dnr"	"dnr"	"No"	"Art"	"No"	"Me"	"Yes"	"No"	"PC"	"Rent"	"No"	"dnr"	"Yes"	"No"	"No"	"No"	"In-person"	"Yes"	"dnr"	"Public"	"dnr"	"No"	"dnr"	"Tunes"	"dnr"	"No"	"Yes"	"dnr"	"No"	"Yes!"	"No"	"No"	"dnr"	"No"	"Yes"	"dnr"	"Yes"	"Yes"
1285	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"$100,001 - $150,000"	"Single (no kids)"	"Current K-12"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"No"	"No"	"Mac"	"Rent"	"No"	"No"	"No"	"No"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Public"	"Idealist"	"Yes"	"Yes"	"Tunes"	"No"	"No"	"Yes"	"No"	"No"	"Umm..."	"Yes"	"No"	"Yes"	"No"	"Yes"	"Study first"	"No"	"Yes"
1286	"Democrat"	"(64,90]"	45	"No"	"Female"	"$75,000 - $100,000"	"Single (w/kids)"	"High School Diploma"	"No"	"Yes"	"No"	"No"	"Yes"	"Dad"	"Yes"	"Yes"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"No"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Online"	"Yes"	"Yes"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes!"	"No"	"No"	"No"	"No"	"Yes"	"Study first"	"Yes"	"Yes"
1287	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"$100,001 - $150,000"	"Domestic Partners (no kids)"	"Bachelor's Degree"	"Yes"	"No"	"No"	"No"	"No"	"Dad"	"No"	"No"	"Right"	"No"	"Science"	"No"	"Me"	"Yes"	"Yes"	"Mac"	"Rent"	"No"	"No"	"Yes"	"No"	"No"	"Yes"	"Online"	"No"	"No"	"Public"	"Idealist"	"Yes"	"No"	"Talk"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Umm..."	"No"	"Yes"	"No"	"No"	"No"	"Study first"	"Yes"	"Yes"
1289	"Democrat"	"(18,44]"	45	"Yes"	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"Yes"	"Yes"	"No"	"No"	"Yes"	"Mom"	"No"	"No"	"Happy"	"Yes"	"Science"	"No"	"Me"	"Yes"	"Yes"	"PC"	"Rent"	"Yes"	"No"	"No"	"No"	"No"	"No"	"In-person"	"No"	"Yes"	"Public"	"Idealist"	"No"	"No"	"Talk"	"No"	"No"	"No"	"No"	"No"	"Yes!"	"No"	"No"	"No"	"Yes"	"Yes"	"Try first"	"No"	"Yes"
1290	"Republican"	"(18,44]"	21	"unknown"	"Male"	"under $25,000"	"Single (no kids)"	"Current Undergraduate"	"No"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"Yes"	"No"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"No"	"dnr"	"PC"	"Rent"	"Yes"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"Online"	"dnr"	"No"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"Yes"	"Umm..."	"No"	"No"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"No"
1291	"Democrat"	"(44,64]"	44	"Yes"	"Male"	"$50,000 - $74,999"	"Single (no kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"Mac"	"Own"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"In-person"	"No"	"No"	"Private"	"Pragmatist"	"dnr"	"No"	"Talk"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Umm..."	"No"	"No"	"Yes"	"Yes"	"No"	"Try first"	"No"	"No"
1292	"Democrat"	"(44,64]"	10	"No"	"Female"	"dnr"	"Married (w/kids)"	"Bachelor's Degree"	"dnr"	"Yes"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Happy"	"dnr"	"dnr"	"dnr"	"Circumstances"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"No"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"dnr"	"dnr"	"dnr"	"Pragmatist"	"dnr"	"dnr"	"Tunes"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"dnr"	"Yes"	"dnr"	"No"	"dnr"	"dnr"	"dnr"
1293	"Democrat"	"(18,44]"	45	"No"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"dnr"	"No"	"Yes"	"No"	"No"	"No"	"Mom"	"Yes"	"Yes"	"Happy"	"No"	"Science"	"Yes"	"Me"	"Yes"	"No"	"PC"	"Own"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes"	"Online"	"Yes"	"No"	"Public"	"Pragmatist"	"Yes"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"Yes"	"No"	"Yes!"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Try first"	"Yes"	"Yes"
1294	"Democrat"	"(18,44]"	45	"No"	"Male"	"$50,000 - $74,999"	"Married (w/kids)"	"Master's Degree"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"Dad"	"Yes"	"No"	"Happy"	"Yes"	"Science"	"Yes"	"Circumstances"	"Yes"	"Yes"	"Mac"	"Own"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"In-person"	"No"	"No"	"Private"	"Idealist"	"No"	"No"	"Tunes"	"Yes"	"Yes"	"No"	"Yes"	"No"	"Yes!"	"No"	"Yes"	"Yes"	"No"	"No"	"Try first"	"Yes"	"Yes"
1295	"Democrat"	"(44,64]"	45	"Yes"	"Female"	"$100,001 - $150,000"	"Married (w/kids)"	"Bachelor's Degree"	"No"	"No"	"No"	"No"	"No"	"Mom"	"Yes"	"No"	"Happy"	"No"	"Art"	"Yes"	"Circumstances"	"Yes"	"Yes"	"PC"	"Own"	"No"	"Yes"	"No"	"No"	"No"	"No"	"In-person"	"Yes"	"Yes"	"Private"	"Pragmatist"	"No"	"No"	"Tunes"	"No"	"Yes"	"Yes"	"No"	"Yes"	"Yes!"	"No"	"No"	"Yes"	"No"	"Yes"	"Try first"	"No"	"Yes"
